number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_gravity,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,params_pole_length,params_vf_coef,state
0,104.9,2025-10-03 19:32:25.090506,2025-10-03 19:33:31.372785,0 days 00:01:06.282279,<class 'torch.nn.modules.activation.Tanh'>,256,0.21200885169597775,0.057348233003790376,0.9368045662925361,0.9905960077258767,10.676677398714059,1.5246146982949e-05,0.7,256,"[400, 300]",0.7941089172149915,0.11919976973831227,COMPLETE
1,500.0,2025-10-03 19:33:31.372785,2025-10-03 19:34:51.934448,0 days 00:01:20.561663,<class 'torch.nn.modules.activation.ReLU'>,128,0.10186236832376327,0.03489221966159415,0.8146629353090273,0.9767261540268926,11.716787963247747,0.0015147747436293124,0.3,256,"[256, 256]",0.6834002515809259,0.636233988794848,COMPLETE
2,435.8,2025-10-03 19:34:51.934448,2025-10-03 19:36:01.347985,0 days 00:01:09.413537,<class 'torch.nn.modules.activation.Tanh'>,256,0.31033278090408545,0.026405638604457677,0.9897430167816357,0.9825270382338946,10.490142646494174,8.13276815588863e-05,1.0,512,"[256, 128]",0.33906858889997443,0.5625181317647584,COMPLETE
3,500.0,2025-10-03 19:36:01.347985,2025-10-03 19:37:12.620880,0 days 00:01:11.272895,<class 'torch.nn.modules.activation.Tanh'>,256,0.23792246759865202,0.08561259603267446,0.8997593526817133,0.9834894497966699,8.557387586955695,0.0009436170214419326,0.3,1024,"[400, 300]",0.37163417925872494,0.6349338041336741,COMPLETE
4,180.3,2025-10-03 19:37:12.620880,2025-10-03 19:38:30.205037,0 days 00:01:17.584157,<class 'torch.nn.modules.activation.ReLU'>,256,0.3305993825721286,0.02273695073100428,0.9907359476731074,0.9707425874432771,9.954611275464162,0.0003468885843869705,0.5,128,"[256, 128]",0.5966669484972269,0.20394850211504467,COMPLETE
5,500.0,2025-10-03 19:38:30.205037,2025-10-03 19:40:33.017639,0 days 00:02:02.812602,<class 'torch.nn.modules.activation.Tanh'>,32,0.28184952968085597,0.06693627981826784,0.9253712877174669,0.9586508561671383,9.7045537964326,0.0005669562356578877,1.0,1024,"[64, 64]",0.3272681034136468,0.800704627538784,COMPLETE
6,500.0,2025-10-03 19:40:33.018683,2025-10-03 19:42:08.723777,0 days 00:01:35.705094,<class 'torch.nn.modules.activation.ReLU'>,64,0.13202602420140758,0.02222282525598292,0.8534751353369033,0.9975354357467473,11.18550172526908,0.0019702807748932095,1.0,512,"[128, 128]",0.3983889838271367,0.4022852218400246,COMPLETE
7,500.0,2025-10-03 19:42:08.723777,2025-10-03 19:44:16.076411,0 days 00:02:07.352634,<class 'torch.nn.modules.activation.ReLU'>,32,0.10574728692617741,0.08342477690986881,0.9515689835637045,0.9609116013589093,9.341219539203601,0.0002394088496489149,0.5,128,"[256, 128]",0.49957632096840565,0.3976575681780461,COMPLETE
8,286.4,2025-10-03 19:44:16.076411,2025-10-03 19:46:13.570801,0 days 00:01:57.494390,<class 'torch.nn.modules.activation.ReLU'>,32,0.2437684800073727,0.03390232144649762,0.8086321516047021,0.9749760211006813,11.472731829175261,0.0018353227097935808,0.5,128,"[400, 300]",0.40707581783358654,0.3356639768123869,COMPLETE
9,283.1,2025-10-03 19:46:13.571347,2025-10-03 19:48:09.844673,0 days 00:01:56.273326,<class 'torch.nn.modules.activation.ReLU'>,32,0.17943723260958927,0.0760910492491072,0.815703263412563,0.9556020572313583,9.951800426121702,0.0003048981807265909,0.3,1024,"[256, 256]",0.6350836010279365,0.701504627971438,COMPLETE
